정답,문제,유사답안,출제연도,문제소분류,문제대분류,비고
일반화 관계(Generalization),"( )는 클래스 간의 관계에서 하나의 사물이 다른 사물에 비해 더 일반적인지 구체적인지를 표현하고, 구체적(하위)인 사물에서 일반적(상위)인 사물 쪽으로 속이 빈 화살표를 연결하여 표현한다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
의존관계(Dependency),"( )는 클래스 간의 관계에서 하나의 클래스가 또다른 클래스를 사용하는 관계로 사물 사이에 서로 관련은 있으나 필요에 따라 서로에게 영향을 주는 짧은 시간 동안만 유지하는 관계를 표현하고, 영향을 주는 사물이 영향을 받는 사물 쪽으로 점선 화살표를 연결하여 표현한다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
데이터베이스 이상 현상,데이터의 중복성으로 인해 릴레이션을 조작할 때 발생하는 비합리적 현상이다.,,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,
BCNF,모든 결정자가 후보 키가 되도록 하여 결정자 함수 종속성을 제거하는 단계이다.,,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,
DDL(Data Definition Language; 데이터 정의어),"( )은 데이터를 정의하는 언어로서 ‘데이터를 담는 그릇을 정의하는 언어’이다.
테이블과 같은 데이터 구조를 정의하는데 사용되는 명령어들로 특정 구조를 생성, 변경, 삭제, 이름을 바꾸는 데이터 구조와 관련된 명령어들을 ( )이라고 부른다.",,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
슈퍼 타입(Super type),모든 서브 타입으로 상속(Inheritance)되는 공통 속성이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
서브 타입(Sub type),개체(Entity)의 전체 집합에서 일부만 모아놓은 부분 속성이다,,기출 예상 문제,UI 설계 원칙,화면 설계,
튜플(Tuple),관계형 데이터베이스에서는 행(Row)을 의미한다.,,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
추상클래스(Abstract Class),"( )는 객체 인스턴스를 생성하지 않고, 단지 유사 클래스들의 공통된 특징을 정의하고, 하나 이상의 추상 메서드와 일반 필드 및 일반 메서드를 포함하는 클래스이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
액션(Action),"( )은 활동 다이어그램 구성요소 중 어떠한 일들의 처리와 실행을 의미하고, 더 이상 분해할 수 없는 단일 작업이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
애트리뷰트(Attribute), 관계형 데이터베이스에서는 테이블 내의 열을 의미한다.,,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
분포도(Selectivity),"특정 컬럼의 데이터가 테이블에 평균적으로 분포되어 있는 정도
인덱스로 적정한 분포도는 10% ~ 15%이다.",,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
포크 노드(Fork node),"( )는 활동 다이어그램 구성요소 중 평행적으로 수행되는 흐름을 나누는 노드로 굵은 가로선으로 표현하고 들어오는 액티비티 흐름은 한 개이고, 나가는 액티비티 흐름은 여러 개이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
전이 조건,( )은 상태 다이어그램 구성요소 중 특정 조건 만족 시 전이 발생하도록 하기 위해 사용되는 속성 값의 불리언 식이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
데이터 조작어(DML; Data Manipulation Language),"데이터베이스에 저장된 자료들을 입력, 수정, 삭제, 조회하는 언어이다.
( )의 유형에는 select, insert, delete, update가 있다.",,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
클러스터(Cluster),대상이 되는 범위(모집단)의 요소를 몇 개 모은 단위체이다.,,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
UI 흐름 설계,( )는 업무의 흐름이나 업무 수행과 관련된 일련의 클릭에 의한 화면의 위치와 흐름을 흐름도 형식으로 표현하는 활동이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
UI 설계서 구성,"( )은 UI 설계서 표지, UI 설계서 개정 이력, UI 요구사항 정의, 시스템 구조, 사이트맵, 프로세스 정의, 화면 설계 등으로 이루어진다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
input Box,"다음은 UI 흐름 설계 수행 절차 중 기능 및 양식(Form) 확인 및 규칙 정의를 해야 하는 것에는 ( ) 확인/규칙 정의, Combo Box 확인/규칙 정의, Radio Box 확인/규칙 정의, Check Box 확인/규칙 정의가 있다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
UI 상세 설계 프로세스,"( )는 UI 요구사항 최종 확인, UI 구조 설계, 사용자 기반 메뉴 구조 설계, 화면 설계, 위 시스템 단위의 내-외부 상세화면과 폼 설계 절차로 되어 있다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
디스크 스트라이핑(Disk Striping),성능 향상을 위해 데이터를 1개 이상의 디스크 드라이브에 저장하여 드라이브를 병렬로 사용할 수 있는 기술이다.,,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
완전성(Complete),"( )은 UI 시나리오 문서의 작성 요건 중 UI 시나리오는 누락이 없어야 하고, 최대한 빠짐없이 가능한 한 상세하게 기술해야 한다는 원칙이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
이해성(Understandable),"( )은 UI 시나리오 문서의 작성 요건 중 처음 접하는 사람도 이해하기 쉽도록 구성하고 설명해야 하고, 이해하지 못하는 추상적인 표현이나 이해하기 어려운 용어는 사용하지 않아야 한다는 원칙이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
가독성(Readable),"( )은 UI 시나리오 문서의 작성 요건 중 문서를 쉽게 읽을 수 있어야 하고(문서 템플릿과 타이포그래피), 표준화된 템플릿을 작성하여 적용해야 한다는 원칙이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
수정 용이성(Modifiable),"( )은 UI 시나리오 문서의 작성 요건 중 쉽게 변경이 가능해야 하고, 수정 또는 개선 사항을 시나리오에 반영하는데 있어 쉽게 적용할 수 있어야 한다는 원칙이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
UI 설계 도구,"( )는 사용자와 시스템 사이에 의사소통할 수 있도록 일시적 또는 영구적인 접근을 목적으로 만들어진 물리적, 가상적 매개체인 UI의 설계를 지원하는 도구이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
물리 데이터 모델링,( )은 논리모델을 적용하고자 하는 기술에 맞도록 상세화해 가는 과정이다.,,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
인덱스,"검색 연산의 최적화를 위해 데이터베이스 내 열에 대한 정보를 구성한 데이터 구조이다.  
전체 데이터의 검색 없이 필요한 정보를 신속히 조회가 가능하게 하는 데이터 구조이다.",,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
레인지 파티셔닝(범위 파티셔닝),"연속적인 숫자나 날짜를 기준으로 하는 파티셔닝 기법이다.
손쉬운 관리 기법을 제공하여 관리 시간의 단축이 가능하다.",,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,
화면 설계,"UI 설계 도구 중 파워 목업(Power Mockup), 발사믹 목업(Balsamiq Mockups), 카카오 오븐(Oven)은 ( ) 도구이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
프로토타이핑,"UI 설계 도구 중 UX핀(UXPin), 액슈어(AXURE), 네이버 프로토나우(ProtoNOW)는 ( ) 도구이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
UI 디자인,"UI 설계 도구 중 스케치(Sketch), 어도비 익스피리언스 디자인 CC는 ( ) 도구이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
링크(Link),"( )는 커뮤니케이션 다이어그램 구성요소 중 개체들 간의 관계를 표현하고 클래스가 아닌 실제 객체와의 관계를 직접적으로 보여주는 구성요소로 액터와 객체, 객체 간 실선으로 표현한다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
조인 노드(Join node),"( )는 Fork Node로 나눠진 흐름을 다시 하나로 합치는 노드로 굵은 가로선으로 표현하고 들어오는 액티비티 흐름은 여러 개이고, 나가는 액티비티 흐름은 한 개이다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
포함(include) 관계,"( )는 유스케이스 다이어그램 관계 중 유스케이스를 수행할 떄 다른 유스케이스가 반드시 수행되는 관계로 여러 유스케이스에서 공통적으로 발견되는 기능을 표현하고, <<include>>로 표현한다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
실체화 관계(Realization),"( )는 추상 클래스나 인터페이스를 상속받아 자식클래스가 추상 메서드 구현할 때 사용하고, 사물이 할 수 있거나, 해야 하는 기능(행위, 인터페이스)으로 서로를 그룹화할 수 있는 관계를 표현한다. 사물에서 기능 쪽으로 속이 빈 점선 화살표를 연결하여 표현한다.",,기출 예상 문제,UI 설계 원칙,화면 설계,
행위적 다이어그램(동적 다이어그램),( )의 유형에는 유스케이스 / 시퀀스 / 커뮤니케이션 / 상태 / 활동 / 타이밍 다이어그램이 있다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
구조적 다이어그램(정적 다이어그램),( )의 유형에는 클래스 / 객체 / 컴포넌트 / 배치 / 복합체 구조 / 패키지 다이어그램이 있다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
인스턴스(Instance),( )은 객체 지향 프로그래밍(OOP; Object Oriented Programming)에서 해당 클래스의 구조로 컴퓨터 저장 공간에서 할당된 실체이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
이해성,( )는 사용성의 부특성 중 소프트웨어의 논리적인 개념과 적용 가능성(응용 가능성)을 분간하는 데 필요한 사용자의 노력 정도에 따른 소프트웨어 특성이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
학습성,( )은 사용성의 부특성 중 소프트웨어 애플리케이션을 익히는 데 필요한 사용자의 노력 정도에 따른 특성이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
운용성,( )은 사용성의 부특성 중 소프트웨어의 활용과 운용 통제에 필요한 사용자의 노력 정도에 따른 특성이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
적절성,( )은 기능성(Functionality)의 부특성 중 소프트웨어 제품이 주어진 작업과 사용자의 목표에 필요 적절한 기능들을 제공해 줄 수 있는 소프트웨어의 능력이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
정밀성,( )은 기능성(Functionality)의 부특성 중 소프트웨어 제품이 요구되는 정확도로 올바른 결과를 산출할 수 있는 능력이다.,,기출 예상 문제,UI 설계 원칙,화면 설계,
HDFS(Hadoop Distributed File System),대용량 데이터의 집합을 처리하는 응용 프로그램에 적합하도록 설계된 하둡 분산 파일 시스템이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
맵 리듀스(Map Reduce),구글에서 대용량 데이터 처리를 분산 병렬 컴퓨팅에서 처리하기 위한 목적으로 제작하여 2004년에 발표한 소프트웨어 프레임워크이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
시맨틱 웹(Semantic Web),"온톨로지를 활용하여 서비스를 기술하고, 온톨로지의 의미적 상호 운용성을 이용해서 서비스 검색, 조합, 중재 기능을 자동화하는 웹이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
온톨로지(Ontology),"실세계에 존재하는 모든 개념들과 개념들의 속성, 그리고 개념들 간의 관계 정보를 컴퓨터가 이해할 수 있도록 서술해 놓은 지식베이스이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
텍스트 마이닝(Text Mining),"대량의 텍스트 데이터로부터 패턴 또는 관계를 추출하여 의미 있는 정보를 찾아내는 기법이다.
비정형, 반정형 데이터에 대하여 자연어, 문서 처리기술을 적용하여 의미 있는 정보를 추출한다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
웹 마이닝(Web Mining),"웹으로부터 얻어지는 방대한 양의 정보로부터 유용한 정보를 찾아내기 위하여 분석하는 기법이다.
웹 자원으로부터 의미 있는 패턴, 프로 파일, 추세 등을 발견하기 위하여 데이터 마이닝 기술을 응용한 것이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
데이터베이스,다수의 인원. 시스템 도는 프로그램이 사용할 목적으로 통합하여 관리되는 데이터의 집합이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
계층형 데이터베이스 관리시스템(HDBMS),"( )은 데이터를 상하 종속적인 관계로 관리하는 데이터베이스이다.
( )은 데이터에 대한 접근 속도가 빠르지만, 종속적인 구조로 인하여 변화하는 데이터 구조에 유연하게 대응이 어렵다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
키-값(Key-Value) DBMS,"키 기반 Get / Put / Delete 제공, 메모리 기반에서 성능 우선 시스템 및 빅데이터 처리 가능 DBMS
Unique한 키에 하나의 값을 가지고 있는 형태
Redis, DynamoDB",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
문서 저장(Document Store) DBMS,"값의 데이터 타입이 문서라는 타입을 사용하는 DBMS
문서 타입은 XML, JSON과 같이 구조화된 데이터 타입으로, 복잡한 계층 구조 표현 가능
MongoDB, Couchbase",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
그래프(Graph) DBMS,"시맨틱 웹과 온톨로지 분야에서 활용되는 그래프로 데이터를 표현하는 DBMS
노드와 에지로 특징되는 요소 특화
노드 간 관계를 구조화하여 저장
Neo4j, AllegroGraph",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
데이터 무결성,부적절한 자료가 입력되어 동일한 내용에 대하여 서로 다른 데이터가 저장되는 것을 허용하지 않는 성질,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
데이터 일관성,"삽입, 삭제, 갱신, 생성 후에도 저장된 데이터가 변함없이 일정",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
NoSQL(Not Only SQL),"( )은 전통적인 RDBMS와 다른 DBMS를 지칭하기 위한 용어로 데이터 저장에 고정된 테이블 스키마가 필요하지 않고 조인(Join) 연산을 사용할 수 없으며, 수평적으로 확장이 가능한 DBMS이다",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
DBMS,"DBMS 데이터 관리의 복잡성을 해결하는 동시에 데이터 추가, 변경, 검색, 삭제 및 백업, 복구, 보안 등의 기능을 지원하는 소프트웨어이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
빅데이터(Big Data),"시스템 서비스, 조직(회사) 등에서 주어진 비용 시간 내에 처리 가능한 데이터 범위를 넘어서는 수십 페타바이트(PB) 크기의 비정형 데이터이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
카티션 프로덕트(CARTESIAN Product),"R X S 로 표현되며, R과 S에 속한 모든 튜플을 연결해 만들어진 새로운 튜플로 릴레이션 구성, 기호는 ‘X’로 표기",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
기본 키(Primary Key),( )는 테이블의 각 튜플을 고유하게 식별하는 키이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
외래 키(Foreign Key),( )는 한 릴레이션의 컬럼이 다른 릴레이션의 기본 키로 이용되는 키이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
개체(Entity) 정의서,"개체(Entity) 정의서란 데이터베이스 개념 모델링 단계에서 도출한 개체의 타입과 관련 속성,
식별자 등의 정보를 개괄적으로 명세화한 정의서이다.",,기출 예상 문제,연계 데이터 구성,통합 구현,
인터페이스 ID,"인터페이스를 구분하기 위해 사용되고, 명명 표준에 맞게 부여. 일반적으로 인터페이스 식별성을 강화하기 위해 업무 분류 코드와 연속 번호를 같이 활용",,기출 예상 문제,연계 데이터 구성,통합 구현,
중계 서버(중계 시스템),연계 시스템의 구성요소 중 송신 시스템과 수신 시스템 사이에서 데이터를 송수신하고 연계 데이터의 송수신 현황을 모니터링 하는 시스템으로 연계 데이터의 보안 강화를 지원하는 시스템은 무엇인가?,,기출 예상 문제,연계 데이터 구성,통합 구현,
개념적 데이터 모델,"( )은 현실 세계에 대한 인식을 추상적, 개념적으로 표현하여 개념적 구조를 도출하는 데이터 모델이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
관계 데이터 모델,( )은 데이터를 행과 열로 구성된 2차원 테이블 형태로 구성한 모델이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
스키마(Schema),"( )는 데이터베이스의 구조, 제약조건 등의 정보를 담고 있는 기본적인 구조이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
관계 대수,( )는 관계형 데이터베이스에서 원하는 정보와 그 정보를 어떻게 유도하는가를 기술하는 절차적 정형 언어이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
차집합(Difference),( )은 R에 존재하고 S에 미존재하는 튜플로 결과 릴레이션을 구성하는 연산자이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
속성(Attribute),( )은 엔티티가 가지고 있는 요소 또는 성질이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
삽입 이상,( )은 정보 저장 시 해당 정보의 불필요한 세부정보를 입력해야 하는 경우이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
해시 파티셔닝(Hash Partitioning),( )은 파티션 키의 해시 함숫값에 의한 파티셔닝 기법이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
컴포지트 파티셔닝(Composite Partitioning),( )은 범위분할에 이후 해시 함수를 적용하여 재분할하는 파티셔닝 기법이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
리스트 파티셔닝(List Partitioning),( )은 특정 파티션에 저장될 데이터에 대한 명시적 제어가 가능한 파티셔닝 기법이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
관계형 데이터베이스 관리시스템(RDBMS),( )은 관계형 모델을 기반으로 하는 가장 보편화된 데이터베이스 관리시스템이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
트리거(Trigger),"특정 테이블에 삽입, 수정, 삭제 등의 데이터 변경 이벤트가 발생시 DBMS에서 자동적으로 실행되도록 구현된 프로그램이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
오브젝트(Object),저장공간에서 할당되어 값을 가지거나 식별자에 의해 참조되는 공간이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
DB 링크(Link),연계 방식은 직접 연계 방식과 중간 매개체를 이용한 간접 연계 방식으로 분류할 수 있다. 직접 연계 방식 중 ( ) 방식은 데이터베이스에서 제공하는 ( ) 객체를 이용하는 방식으로 수신 시스템에서 ( )를 생성하고 송신 시스템에서 해당 ( )를 직접 참조하는 방식이다. 괄호 ( ) 안에 들어갈 정확한 연계 기술을 쓰시오.,,기출 예상 문제,연계 메커니즘 구성,통합 구현,
커넥션 풀(Connection Pool),( )이란 데이터베이스와 연결된 커넥션을 미리 만들어서 풀(Pool) 속에 저장해 두고 필요할 떄 커넥션 풀에서 가져와 쓰고 다시 풀에 반환하는 기법이다.,,기출 예상 문제,연계 메커니즘 구성,통합 구현,
JDBC(Java Database Connectivity),데이터베이스에서 자료를 조회하거나 업데이트하기 위해서 자바에서 데이터베이스에 접속할 수 있도록 하는 자바 API를 사용하는 연계 방식,,기출 예상 문제,연계 메커니즘 구성,통합 구현,
하이퍼링크,현재 페이지에서 다른 부분으로 가거나 전혀 다른 페이지로 이동하게 해주는 연계 기술,,기출 예상 문제,연계 메커니즘 구성,통합 구현,
느슨한 결합(Loosely Coupled),( )은 특정 서비스를 변경하더라도 연결된 다른 서비스에는 영향을 주지 않는 유연한 구조라는 의미이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
Column Family Data Store,"( )는 Key 안에 Column, Value 조합으로 된 여러 개의 필드를 갖는 DBMS이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
Document Store,( )는 Value의 데이터 타입이 Document라는 타입을 사용하는 DB이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
Graph Store,( )는 시맨틱 웹과 온톨로지 분야에서 활용되는 그래프로 데이터를 표현하는 DBMS이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
데이터 회복성,( )은 장애가 발생하였을 시 특정 상태로 복구되어야하는 성질이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
"REST(Representational State
Transfer)","HTTP URI를 통해 자원을 명시하고, HTTP 메서드(POST, GET, PUT, DELETE)를 통해 해당 자원에 대한 생성, 조회, 갱신, 삭제 등의 명령을 적용하는 것을 의미한다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
데이터 군집화(Clustering),( )는 대상 레코드들을 유사한 특성을 지닌 몇 개의 소그룹으로 분할하여 데이터를 분류하는 기법이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
네트워크 DBMS,( )는 데이터 구조를 네트워크상의 망상 형태로 표현한 데이터 모델이다.,,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
연쇄(Cascade),"( )는 참조되는 릴레이션에서 튜플을 삭제하고, 참조되는 릴레이션에서 이 튜플을 참조하는 튜플들도 함께 삭제하는 옵션이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
테스트 케이스(Test Case),"명세 기반 테스트의 설계 산출물로, 설계된 입력값, 실행조건, 기대 결과로 구성된 테스트 항목의 명세서를 말한다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
제이슨(JSON),"비동기 브라우저 / 서버 통신(AJAX)을 위해 “속성-값 쌍”, “키-값 쌍”으로 이루어진 데이터 오브젝트를 전달하기 위해 인간이 읽을 수 있는 텍스트를 사용하는 개방형 표준 포맷이다.",,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,
IPC(Inter-Process Communication),"공유메모리, 소켓, 세마포어, 메시지 큐 등 프로세스 간 통신하는 기술을 무엇이라고 하는지 쓰시오.",,기출 예상 문제,내외부 연계 모듈 구현,통합 구현,
EAl(Enterprise Application Integration),"시스템 통합에 사용되는 솔루션으로 구축 유형에는 Point to Point, Hub & Spoke, Message Bus가 있다. 기업에서 운영되는 서로 다른 플랫폼 및 애플리케이션 간의 정보를 전달, 연계, 통합이 가능하도록 해주는 솔루션을 무엇이라고 하는지 쓰시오.",,기출 예상 문제,내외부 연계 모듈 구현,통합 구현,
어댑터(Adaptor),다양한 패키지 애플리케이션 및 기업에서 자체적으로 개발한 애플리케이션을 연결하는 EAI의 핵심 장치로 데이터 입출력 도구,,기출 예상 문제,내외부 연계 모듈 구현,통합 구현,
브로커(Broker),"시스템 상호 간 데이터가 전송될 때, 데이터 포맷과 코드를 변환하는 솔루션",,기출 예상 문제,내외부 연계 모듈 구현,통합 구현,
허브 앤 스포크(Hub & Spoke),단일한 접점의 허브 시스템을 통하여 데이터를 전송하는 중앙 집중식 방식으로 허브 장애 시 전체 장애 발생을 일으키는 EAI 구축 유형을 무엇이라고 하는가?,,기출 예상 문제,내외부 연계 모듈 구현,통합 구현,
하이브리드(Hybrid),( ) 방식은 그룹 내 허브 앤 스포크 방식을 사용하고. 그룹 간에는 메시지 버스 방식을 사용하는 통합 방식으로 그룹 내 환경에 맞도록 연계 작업이 가능한 EA| 방식이 다,,기출 예상 문제,내외부 연계 모듈 구현,통합 구현,
ESB(Enterprise Service Bus),ESB는 기업에서 운영되는 서로 다른 플랫폼 및 애플리케이션 간을 하나의 시스템으로 관리 운영할 수 있도록 서비스 중심의 통합을 지향하는 연계 방식이다.,,기출 예상 문제,내외부 연계 모듈 구현,통합 구현,
